"fname","group","tot_dist","var_dist","frames_tracked"
"01_1D_05","after the drop",24.586,0.849253016091954,30
"01_1D_05","before the drop",36.205,1.70591772988506,30
"01_1D_07","after the drop",84.435,5.71750039655172,30
"01_1D_07","before the drop",77.989,4.48649299885057,30
"01_1D_09","after the drop",32.086,4.23112274022989,30
"01_1D_09","before the drop",80.087,3.83291797816092,30
"01_1D_11","after the drop",81.053,6.27844232298851,30
"01_1D_11","before the drop",83.607,4.92017754137931,30
"01_1D_13","after the drop",30.536,1.5700559816092,30
"01_1D_13","before the drop",35.804,1.63454108505747,30
"01_1D_15","after the drop",36.071,2.68684327471264,30
"01_1D_15","before the drop",59.646,3.30448271724138,30
"01_1D_17","after the drop",27.134,2.0670119816092,30
"01_1D_17","before the drop",52.959,2.02397973448276,30
"01_2B_05","after the drop",72.065,3.01969545402299,30
"01_2B_05","before the drop",40.354,1.55295956781609,30
"01_2B_07","after the drop",57,2.23222986206897,30
"01_2B_07","before the drop",65.856,5.05499582068966,30
"01_2B_09","after the drop",58.76,2.06966671264368,30
"01_2B_09","before the drop",42.555,1.28340825862069,30
"01_2B_11","after the drop",50.778,2.88501073103448,30
"01_2B_11","before the drop",34.843,0.878214254022989,30
"01_2C_05","after the drop",92.707,3.94849501264368,30
"01_2C_05","before the drop",31.163,1.07407777126437,30
"01_2C_07","after the drop",59.509,2.44816472298851,30
"01_2C_07","before the drop",54.328,2.38940371954023,30
"01_2C_09","after the drop",26.386,0.917678395402299,30
"01_2C_09","before the drop",20.556,0.791651613793103,30
"01_2C_11","after the drop",34.403,2.67163073678161,30
"01_2C_11","before the drop",31.651,2.04178106781609,30
"01_2C_13","after the drop",29.954,2.32078260229885,30
"01_2C_13","before the drop",21.068,1.46838413333333,30
"01_2C_15","after the drop",36.824,1.1911143954023,30
"01_2C_15","before the drop",77.673,1.70458333448276,30
"01_2C_17","after the drop",53.428,1.91397889195402,30
"01_2C_17","before the drop",70.28,4.46776698850575,30
"01_3D_05","after the drop",79.737,8.88655043793104,30
"01_3D_05","before the drop",77.205,6.05028060344828,30
"01_3D_07","after the drop",51.386,2.25025053333333,30
"01_3D_07","before the drop",71.938,5.02279606436782,30
"01_3D_09","after the drop",73.213,6.97915625402299,30
"01_3D_09","before the drop",99.216,6.37491692413793,30
"01_3D_11","after the drop",32.856,1.59511306206897,30
"01_3D_11","before the drop",25.088,0.635883098850575,30
"01_3D_13","after the drop",56.968,3.06879316781609,30
"01_3D_13","before the drop",29.197,1.02215763333333,30
"01_3D_15","after the drop",8.478,0.355820455172414,30
"01_3D_15","before the drop",89.639,7.16946796436782,30
"01_3D_17","after the drop",44.411,3.08791486091954,30
"01_3D_17","before the drop",63.914,3.41428936091954,30
"01_4A_05","after the drop",24.229,1.18791761954023,30
"01_4A_05","before the drop",21.295,0.919054833333333,30
"01_4A_07","after the drop",0,0,30
"01_4A_07","before the drop",0.129,0.0005547,30
"01_4A_09","after the drop",0.594,0.00762430344827586,30
"01_4A_09","before the drop",17.276,0.855034602298851,30
"01_4A_11","after the drop",0.311,0.00160486091954023,30
"01_4A_11","before the drop",3.258,0.173679144827586,30
"01_4A_13","after the drop",0,0,30
"01_4A_13","before the drop",1.986,0.048255475862069,30
"01_4A_15","after the drop",0.912,0.0277248,30
"01_4A_15","before the drop",0.774,0.0107879586206897,30
"01_4A_17","after the drop",6.324,0.389621062068965,30
"01_4A_17","before the drop",3.748,0.108914616091954,30
"01_4D_05","after the drop",18.09,1.97479648275862,30
"01_4D_05","before the drop",40.911,2.39719449310345,30
"01_4D_07","after the drop",12.961,1.03426237816092,30
"01_4D_07","before the drop",11.692,0.27441847816092,30
"01_4D_09","after the drop",20.371,1.7593934816092,30
"01_4D_09","before the drop",40.17,2.70940434482759,30
"01_4D_11","after the drop",37.243,3.15803004712644,30
"01_4D_11","before the drop",27.975,3.41226653448276,30
"01_4D_13","after the drop",13.43,1.08551457471264,30
"01_4D_13","before the drop",30.862,3.86000220229885,30
"01_4D_15","after the drop",61.585,4.5053171091954,30
"01_4D_15","before the drop",110.522,6.64861344367816,30
"01_4D_17","after the drop",94.073,6.24191646091954,30
"01_4D_17","before the drop",97.723,5.60228384022988,30
"01_6C_05","after the drop",108.19,11.9964213333333,30
"01_6C_05","before the drop",130.844,11.6929876367816,30
"01_6C_07","after the drop",41.952,3.11413755862069,30
"01_6C_07","before the drop",23.364,0.809479751724138,30
"01_6C_09","after the drop",74.904,3.79797506206897,30
"01_6C_09","before the drop",91.295,10.0026491091954,30
"01_6C_11","after the drop",54.738,4.43744342068966,30
"01_6C_11","before the drop",65.876,6.18640646436782,30
"01_6C_13","after the drop",37.833,2.96908409310345,30
"01_6C_13","before the drop",51.136,2.50922515402299,30
"01_6C_15","after the drop",6.484,0.808260947126437,30
"01_6C_15","before the drop",26.088,2.57319590344828,30
"01_6C_17","after the drop",0,0,30
"01_6C_17","before the drop",1.571,0.0694392057471264,30
"01_6D_05","after the drop",104.499,10.9894889758621,30
"01_6D_05","before the drop",83.093,4.59010859885057,30
"01_6D_07","after the drop",9.611,0.114760722988506,30
"01_6D_07","before the drop",8.019,0.111927389655172,30
"01_6D_09","after the drop",8.724,0.41109995862069,30
"01_6D_09","before the drop",14.065,0.669106695402299,30
"01_6D_11","after the drop",0,0,30
"01_6D_11","before the drop",11.907,0.641566920689655,30
"01_6D_13","after the drop",4.863,0.0841722310344828,30
"01_6D_13","before the drop",14.93,0.385948850574713,30
"01_6D_15","after the drop",7.328,0.261322409195402,30
"01_6D_15","before the drop",0.723,0.00800285172413793,30
"01_6D_17","after the drop",1.108,0.014068616091954,30
"01_6D_17","before the drop",0.933,0.00817167931034483,30
"02_1C_05","after the drop",40.51,2.03173850574713,30
"02_1C_05","before the drop",78.23,4.4028211954023,30
"02_1C_07","after the drop",47.963,1.94915163333333,30
"02_1C_07","before the drop",123.052,8.04429592643678,30
"02_1C_09","after the drop",18.518,0.865505236781609,30
"02_1C_09","before the drop",54.075,2.78352143103448,30
"02_1C_11","after the drop",59.116,3.8509548091954,30
"02_1C_11","before the drop",82.209,3.35112966551724,30
"02_1C_13","after the drop",21.813,0.838354713793103,30
"02_1C_13","before the drop",42.522,1.27719059310345,30
"02_1C_15","after the drop",68.342,5.50293454712644,30
"02_1C_15","before the drop",75.864,4.00707457931034,30
"02_1C_17","after the drop",54.967,4.0411559091954,30
"02_1C_17","before the drop",43.35,2.38487268965517,30
"02_3B_05","after the drop",17.846,0.781653498850575,30
"02_3B_05","before the drop",33.218,1.61108144367816,30
"02_3B_07","after the drop",36.302,3.21747689195402,30
"02_3B_07","before the drop",34.073,1.56975515057471,30
"02_3B_09","after the drop",7.81,0.139330022988506,30
"02_3B_09","before the drop",22.552,0.75597896091954,30
"02_3B_11","after the drop",12.096,0.449222510344828,30
"02_3B_11","before the drop",52.825,1.86476793678161,30
"02_3B_13","after the drop",8.086,0.351236188505747,30
"02_3B_13","before the drop",24.821,0.831761964367816,30
"02_3B_15","after the drop",4.288,0.612898133333333,30
"02_3B_15","before the drop",0.129,0.0005547,30
"02_3B_17","after the drop",1.283,0.0118732885057471,30
"02_3B_17","before the drop",16.397,2.75039335747126,30
"02_4B_05","after the drop",8.02,0.194532229885057,30
"02_4B_05","before the drop",11.371,0.188785343678161,30
"02_4B_07","after the drop",13.941,0.556862217241379,30
"02_4B_07","before the drop",47.044,1.7702908091954,30
"02_4B_09","after the drop",2.184,0.108738579310345,30
"02_4B_09","before the drop",18.325,1.31138724712644,30
"02_4B_11","after the drop",21.762,1.25390859310345,30
"02_4B_11","before the drop",10.454,0.756966464367816,30
"02_4B_13","after the drop",21.195,2.34042901724138,30
"02_4B_13","before the drop",42.137,2.15606087471264,30
"02_4B_15","after the drop",21.515,1.2122842816092,30
"02_4B_15","before the drop",25.063,1.74814115057471,30
"02_4B_17","after the drop",26.472,1.50520128275862,30
"02_4B_17","before the drop",31.826,0.871263774712644,30
"02_5A_05","after the drop",21.802,2.53226778850575,30
"02_5A_05","before the drop",28.778,2.76758854712644,30
"02_5A_07","after the drop",0.129,0.0005547,30
"02_5A_07","before the drop",0.129,0.0005547,30
"02_5A_09","after the drop",4.697,0.348242391954023,30
"02_5A_09","before the drop",6.923,0.335695357471264,30
"02_5A_11","after the drop",5.313,0.357670437931034,30
"02_5A_11","before the drop",10.902,0.332122937931034,30
"02_5A_13","after the drop",4.556,0.185533912643678,30
"02_5A_13","before the drop",10.602,0.576650179310345,30
"02_5A_15","after the drop",2.737,0.249705633333333,30
"02_5A_15","before the drop",1.688,0.020826891954023,30
"02_5A_17","after the drop",1.034,0.0090908091954023,30
"02_5A_17","before the drop",0.465,0.0072075,30
"02_5C_05","after the drop",23.235,2.23372598275862,30
"02_5C_05","before the drop",34.783,1.09910570229885,30
"02_5C_07","after the drop",28.869,0.799412975862069,30
"02_5C_07","before the drop",19.497,1.71124292068966,30
"02_5C_09","after the drop",21.541,0.445541067816092,30
"02_5C_09","before the drop",22.392,2.52000383448276,30
"02_5C_11","after the drop",4.684,0.0809272229885058,30
"02_5C_11","before the drop",0,0,30
"02_5C_13","after the drop",13.804,0.485171843678161,30
"02_5C_13","before the drop",20.644,1.46189225747126,30
"02_5D_05","after the drop",42.253,2.38795039195402,30
"02_5D_05","before the drop",79.897,5.72596204712644,30
"02_5D_07","after the drop",31.704,2.17865444137931,30
"02_5D_07","before the drop",23.272,0.838861443678161,30
"02_5D_09","after the drop",26.046,2.07652085517241,30
"02_5D_09","before the drop",21.503,0.97187121954023,30
"02_5D_11","after the drop",0.311,0.00160486091954023,30
"02_5D_11","before the drop",0,0,30
"02_5D_13","after the drop",9.419,0.902939826436782,30
"02_5D_13","before the drop",0,0,30
"02_5D_15","after the drop",1.11,0.04107,30
"02_5D_15","before the drop",0,0,30
"02_5D_17","after the drop",0.129,0.0005547,30
"02_5D_17","before the drop",0.311,0.00160486091954023,30
"03_1C_05","after the drop",29.856,1.22314354482759,30
"03_1C_05","before the drop",24.173,1.64107535747126,30
"03_1C_07","after the drop",22.966,1.49511474022988,30
"03_1C_07","before the drop",21.93,0.721060068965517,30
"03_1C_09","after the drop",59.389,4.19924679195402,30
"03_1C_09","before the drop",56.761,2.51832996436782,30
"03_1C_11","after the drop",13.363,0.603889564367816,30
"03_1C_11","before the drop",35.076,2.63619864827586,30
"03_1C_13","after the drop",6.739,0.310977550574713,30
"03_1C_13","before the drop",21.219,0.586520010344827,30
"03_1C_15","after the drop",41.99,1.21609850574713,30
"03_1C_15","before the drop",30.332,1.0052599954023,30
"03_1C_17","after the drop",33.649,1.27385768850575,30
"03_1C_17","before the drop",34.261,0.923614791954023,30
"03_1D_05","after the drop",38.981,0.81827361954023,30
"03_1D_05","before the drop",57.619,2.45959796436782,30
"03_1D_07","after the drop",55,2.66596098850575,30
"03_1D_07","before the drop",75.244,3.63091556781609,30
"03_1D_09","after the drop",21.197,0.605760736781609,30
"03_1D_09","before the drop",32.297,1.68374273678161,30
"03_1D_11","after the drop",1.289,0.0118672747126437,30
"03_1D_11","before the drop",13.338,0.512236386206897,30
"03_1D_13","after the drop",11.193,0.340876506896552,30
"03_1D_13","before the drop",30.614,1.0366243954023,30
"03_1D_15","after the drop",11.28,0.438569103448276,30
"03_1D_15","before the drop",19.12,1.1176656091954,30
"03_1D_17","after the drop",1.29,0.05547,30
"03_1D_17","before the drop",0,0,30
"03_2C_05","after the drop",4.096,0.00648384367816092,30
"03_2C_05","before the drop",8.804,0.0755410850574713,30
"03_2C_07","after the drop",1.555,0.00638200574712644,30
"03_2C_07","before the drop",5.385,0.0985889482758621,30
"03_2C_09","after the drop",0,0,30
"03_2C_09","before the drop",9.308,0.521787926436782,30
"03_2C_11","after the drop",10.239,0.564777734482759,30
"03_2C_11","before the drop",12.207,0.899337679310345,30
"03_2C_13","after the drop",0,0,30
"03_2C_13","before the drop",0.129,0.0005547,30
"03_2C_15","after the drop",0.408,0.0055488,30
"03_2C_15","before the drop",0,0,30
"03_2C_17","after the drop",0,0,30
"03_2C_17","before the drop",0.698,0.00632047816091954,30
"03_2D_05","after the drop",6.003,0.293621679310345,30
"03_2D_05","before the drop",40.178,1.72449316781609,30
"03_2D_07","after the drop",12.386,0.536992671264368,30
"03_2D_07","before the drop",48.8,1.7136816091954,30
"03_2D_09","after the drop",17.907,0.63330105862069,30
"03_2D_09","before the drop",42.216,1.22025002758621,30
"03_2D_11","after the drop",0.653,0.00696397816091954,30
"03_2D_11","before the drop",7.999,0.596090171264368,30
"03_2D_13","after the drop",18.416,0.557071774712644,30
"03_2D_13","before the drop",23.307,1.11390664482759,30
"03_2D_15","after the drop",4.423,0.136410254022989,30
"03_2D_15","before the drop",13.623,0.575279196551724,30
"03_2D_17","after the drop",1.137,0.034124575862069,30
"03_2D_17","before the drop",0.827,0.00322521954022989,30
"03_4A_05","after the drop",16.818,1.47848983448276,30
