"cop_name","block","exposed","date_exposed","infection","trt","cop_geno","parasite_geno","cerc_d9","dead","days_surv","cop_length","proc_size"
"01_1A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",16,NA,NA
"01_1B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",20,NA,NA
"01_1C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",16,NA,NA
"01_1D","1","unexposed","24_08_2010","uninfected","unexposed, control","I","A",NA,"died during experiment",21,NA,NA
"01_2A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_2B","1","exposed","24_08_2010","infected","infected","I","A",0,"survived 21 dpi",14,NA,NA
"01_2C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_2D","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",21,NA,NA
"01_3A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_3B","1","exposed","24_08_2010",NA,NA,"I","A",NA,"survived 21 dpi",6,NA,NA
"01_3C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_3D","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_4A","1","exposed","24_08_2010","infected","infected","I","A",0,"died during experiment",21,0.718872,26666
"01_4B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_4C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_4D","1","exposed","24_08_2010","infected","infected","I","A",0,"died during experiment",21,0.808478,26714
"01_5A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_5B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",10,NA,NA
"01_5C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_5D","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",8,NA,NA
"01_6A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"survived 21 dpi",21,NA,NA
"01_6B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","A",NA,"died during experiment",21,NA,NA
"01_6C","1","unexposed","24_08_2010","uninfected","unexposed, control","I","A",NA,"died during experiment",21,NA,NA
"01_6D","1","exposed","24_08_2010","infected","infected","I","A",0,"died during experiment",21,0.71466,24356
"02_1A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_1B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_1C","1","unexposed","24_08_2010","uninfected","unexposed, control","I","B",NA,"died during experiment",21,NA,NA
"02_1D","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_2A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_2B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"survived 21 dpi",10,NA,NA
"02_2C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_2D","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"survived 21 dpi",10,NA,NA
"02_3A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_3B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_3C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_3D","1","exposed","24_08_2010",NA,NA,"I","B",NA,"survived 21 dpi",4,NA,NA
"02_4A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_4B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_4C","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_4D","1","exposed","24_08_2010",NA,NA,"I","B",NA,"survived 21 dpi",4,NA,NA
"02_5A","1","exposed","24_08_2010","infected","infected","I","B",0,"died during experiment",21,0.700928,26086.5
"02_5B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"survived 21 dpi",20,NA,NA
"02_5C","1","exposed","24_08_2010","infected","infected","I","B",0,"survived 21 dpi",16,NA,NA
"02_5D","1","unexposed","24_08_2010","uninfected","unexposed, control","I","B",NA,"survived 21 dpi",21,NA,NA
"02_6A","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
"02_6B","1","exposed","24_08_2010","uninfected","exposed, uninfected","I","B",NA,"died during experiment",21,NA,NA
